cytoband	17q12	11q13.3	8q23.3	20q13.2	6q21	8p11.23	1q21.2	10q22.3	11q14.1	4q13.3	12q15	3q26.31	6p24.3	3p26.1	19q12	9q33.3	1p31.3	14q21.1	19q13.43	
																PTRH1			NLRP13	
																PIP5KL1			NLRP8	
																TTC16			NLRP5	
																OLFML2A			ZNF787	
																SCAI			ZFP28	
																CFAP157			SMIM17	
																FAM102A			C19orf18	
																WDR38			ZNF418	
																ZBTB34			ZNF417	
																MIR181A2			ZNF548	
																MIR181B2			ZNF542P	
																NRON			ZNF582	
																LOC100129034			ZNF583	
																MIR181A2HG			ZNF550	
																MIR2861			ZSCAN4	
																MIR3911			ZNF549	
																LOC100505588			ZNF547	
																MIR3960			ZIK1	
																MIR4672			ZNF776	
																LOC101929116			ZSCAN1	
																LOC102723566			ZSCAN5B	
																LOC105376271			ZNF530	
																			ZNF773	
																			ZNF582-AS1	
																			ZNF470	
																			ZNF749	
																			ZNF805	
																			ZNF772	
																			DUXA	
																			ZNF814	
																			MIMT1	
																			ZNF667-AS1	
																			LOC100128398	
																			PEG3-AS1	
																			ZNF587B	
																			LOC101928886	
																			ZIM2-AS1	
																			LOC105372476	
