gene_stable_id	hgnc_symbol	chromosome_scaffold_name	gene_start_bp	gene_end_bp	gene_percent_gc_content	gene_type
ENSG00000174326	SLC16A11	17	7041630	7043923	66.96	protein_coding
ENSG00000120158	RCL1	9	4792869	4885917	42.83	protein_coding
ENSG00000111859	NEDD9	6	11183298	11382348	43.09	protein_coding
ENSG00000149742	SLC22A9	11	63369789	63410294	37.6	protein_coding
ENSG00000084207	GSTP1	11	67583595	67586656	63.06	protein_coding
ENSG00000064687	ABCA7	19	1040101	1065572	60.49	protein_coding
ENSG00000140254	DUOXA1	15	45117367	45129938	49.2	protein_coding
ENSG00000163497	FEV	2	218981087	218985657	63.18	protein_coding
ENSG00000115271	GCA	2	162318840	162371595	36.25	protein_coding
ENSG00000119906	SLF2	10	100912569	100965136	39.04	protein_coding
ENSG00000101144	BMP7	20	57168748	57266629	49.98	protein_coding
ENSG00000117906	RCN2	15	76931619	76954392	38.97	protein_coding
ENSG00000109881	CCDC34	11	27330827	27363868	37.62	protein_coding
ENSG00000158092	NCK1	3	136862208	136949823	39.43	protein_coding
ENSG00000124429	POF1B	23	85277396	85379743	35.73	protein_coding
ENSG00000107614	TRDMT1	10	17142254	17202054	36.72	protein_coding
ENSG00000166862	CACNG2	22	36563921	36703558	47.64	protein_coding
ENSG00000177504	VCX2	23	8169944	8171267	57.18	protein_coding
ENSG00000053108	FSTL4	5	133196455	133612564	46.69	protein_coding
ENSG00000153495	TEX29	13	111316184	111344249	50.5	protein_coding
ENSG00000272602	ZNF595	4	53285	88211	38.31	protein_coding
ENSG00000137809	ITGA11	15	68296533	68432162	49.23	protein_coding
ENSG00000179299	NSUN7	4	40749897	40809985	39.54	protein_coding
ENSG00000135245	HILPDA	7	128455849	128458418	51.52	protein_coding
ENSG00000179468	OR9A2	7	143026158	143027195	44.8	protein_coding
ENSG00000104660	LEPROTL1	8	30095398	30177208	42.61	protein_coding
ENSG00000132383	RPA1	17	1829702	1900082	44.49	protein_coding
ENSG00000164902	PHAX	5	126600268	126627252	43.51	protein_coding
ENSG00000283486	FAM95C	9	38540569	38577207	47.61	protein_coding
ENSG00000179934	CCR8	3	39329706	39333511	42.41	protein_coding
ENSG00000103415	HMOX2	16	4474690	4510347	47.62	protein_coding
ENSG00000165055	METTL2B	7	128476729	128506602	45.29	protein_coding
ENSG00000162949	CAPN13	2	30722771	30820542	45.57	protein_coding
ENSG00000087884	AAMDC	11	77821109	77918432	41.82	protein_coding
ENSG00000173275	ZNF449	23	135344796	135363152	37.9	protein_coding
ENSG00000140853	NLRC5	16	56989485	57083531	49.44	protein_coding
ENSG00000104833	TUBB4A	19	6494319	6502848	56.05	protein_coding
ENSG00000266302	NA	17	16690261	16804453	38.81	protein_coding
ENSG00000225781	OR6V1	7	143052320	143053347	54.09	protein_coding
ENSG00000170160	CCDC144A	17	16689537	16777881	38.37	protein_coding
ENSG00000143977	SNRPG	2	70281362	70293771	41.09	protein_coding
ENSG00000134755	DSC2	18	31058840	31102522	37.1	protein_coding
ENSG00000159763	PIP	7	143132077	143139746	42.19	protein_coding
ENSG00000118260	CREB1	2	207529737	207603431	37.47	protein_coding
ENSG00000067064	IDI1	10	1039152	1049170	43.02	protein_coding
ENSG00000178947	SMIM10L2A	23	135421943	135428074	58.22	protein_coding
ENSG00000165359	INTS6L	23	135520643	135582510	38.59	protein_coding
ENSG00000110375	UPK2	11	118925164	118958559	51.76	protein_coding
ENSG00000179913	B3GNT3	19	17794828	17813082	52.93	protein_coding
ENSG00000110218	PANX1	11	94128928	94181972	43.1	protein_coding
ENSG00000196900	TEX43	5	126631722	126636287	41.72	protein_coding
ENSG00000205642	VCX3B	23	8464830	8466510	57.23	protein_coding
ENSG00000188655	RNASE9	14	20556093	20560931	37.53	protein_coding
ENSG00000236398	TAS2R39	7	143183419	143184435	43.85	protein_coding
ENSG00000186174	BCL9L	11	118893875	118925608	59.25	protein_coding
ENSG00000186532	SMYD4	17	1779485	1830634	46.16	protein_coding
ENSG00000110090	CPT1A	11	68754620	68844410	50.04	protein_coding
ENSG00000160111	CPAMD8	19	16892947	17026815	50.2	protein_coding
ENSG00000184611	KCNH7	2	162371407	162838730	35.03	protein_coding
ENSG00000255804	OR6J1	14	22630929	22644352	49.44	protein_coding
ENSG00000148377	IDI2	10	1018907	1025859	46.96	protein_coding
ENSG00000108784	"NAGLU"	17	42536172	42544449	57.01	protein_coding
ENSG00000186575	NF2	22	29603556	29698598	45.79	protein_coding
ENSG00000108960	MMD	17	55392613	55421992	41.06	protein_coding
ENSG00000170471	RALGAPB	20	38472816	38578861	39.37	protein_coding
ENSG00000155463	OXA1L	14	22766522	22773041	46.66	protein_coding
ENSG00000182257	PRR34	22	46049478	46054144	59.12	protein_coding
ENSG00000171320	ESCO2	8	27771949	27812640	37.71	protein_coding
ENSG00000107937	GTPBP4	10	988019	1019936	47.14	protein_coding
ENSG00000160683	CXCR5	11	118883766	118897799	54.19	protein_coding
ENSG00000180304	OAZ2	15	64687573	64703281	47.83	protein_coding
ENSG00000109062	SLC9A3R1	17	74748652	74769353	56.2	protein_coding
ENSG00000102287	GABRE	23	151953124	151974680	46.86	protein_coding
ENSG00000149262	INTS4	11	77878720	77994678	40.73	protein_coding
ENSG00000108786	HSD17B1	17	42549214	42555213	56.95	protein_coding
ENSG00000198730	CTR9	11	10750987	10801625	41.1	protein_coding
ENSG00000283208	NA	13	76992078	77129589	36.84	protein_coding
ENSG00000177105	RHOG	11	3826978	3840983	51.22	protein_coding
ENSG00000104880	ARHGEF18	19	7395113	7472477	51.44	protein_coding
ENSG00000182836	PLCXD3	5	41306954	41510628	37.34	protein_coding
ENSG00000118900	UBN1	16	4846665	4882360	47.93	protein_coding
ENSG00000005812	FBXL3	13	76992598	77027195	38.36	protein_coding
ENSG00000180176	TH	11	2163929	2171877	65.25	protein_coding
ENSG00000114209	PDCD10	3	167683298	167734939	35.73	protein_coding
ENSG00000223417	TRIM49D1	11	89911111	89921767	37.43	protein_coding
ENSG00000183597	TANGO2	22	20017014	20065926	54.58	protein_coding
ENSG00000169398	PTK2	8	140657900	141002216	40.07	protein_coding
ENSG00000170579	DLGAP1	18	3496032	4455335	39.67	protein_coding
ENSG00000172794	RAB37	17	74670578	74747335	49.21	protein_coding
ENSG00000250312	ZNF718	4	124480	202303	39.52	protein_coding
ENSG00000090581	GNPTG	16	1351923	1364113	56.48	protein_coding
ENSG00000005810	MYCBP2	13	77044655	77327050	35.72	protein_coding
ENSG00000068120	COASY	17	42561467	42566277	57.56	protein_coding
ENSG00000204899	MZT1	13	72708357	72727687	38.9	protein_coding
ENSG00000188343	FAM92A	8	93698561	93731527	38.54	protein_coding
ENSG00000168904	LRRC28	15	99251362	99390729	38.12	protein_coding
ENSG00000116017	ARID3A	19	925781	975934	58.94	protein_coding
ENSG00000136866	ZFP37	9	113038380	113056759	39.08	protein_coding
ENSG00000002822	MAD1L1	7	1815793	2233243	55.65	protein_coding
ENSG00000154438	ASZ1	7	117363222	117428123	35.27	protein_coding
ENSG00000083520	DIS3	13	72752169	72782096	36.46	protein_coding
ENSG00000147419	CCDC25	8	27733311	27772653	40.07	protein_coding
ENSG00000187017	ESPN	1	6424776	6461367	60.15	protein_coding
ENSG00000110321	EIF4G2	11	10797050	10809110	41.78	protein_coding
ENSG00000105939	ZC3HAV1	7	139043520	139109719	43.4	protein_coding
ENSG00000153684	GOLGA8F	15	28378621	28392018	49.12	protein_coding
ENSG00000169410	PTPN9	15	75463251	75579289	45.12	protein_coding
ENSG00000263264	NA	19	7348943	7383385	51.08	protein_coding
ENSG00000164037	SLC9B1	4	102885048	103019739	37.3	protein_coding
ENSG00000233802	TRIM49D2	11	89924064	89933063	37.46	protein_coding
ENSG00000268651	CTAG1A	23	154585143	154586821	65.75	protein_coding
ENSG00000134765	DSC1	18	31129236	31162856	35.2	protein_coding
ENSG00000197746	PSAP	10	71816298	71851375	47.72	protein_coding
ENSG00000268861	NA	19	7382834	7472477	51.37	protein_coding
ENSG00000145526	CDH18	5	19472951	20575873	34.89	protein_coding
ENSG00000183439	TRIM61	4	164954446	164977668	40.74	protein_coding
ENSG00000250486	FAM218A	4	164956948	164959122	39.77	protein_coding
ENSG00000205899	BHLHA9	17	1270559	1271460	76.39	protein_coding
ENSG00000186976	EFCAB6	22	43528744	43812337	42.97	protein_coding
ENSG00000004939	SLC4A1	17	44248385	44268141	55.8	protein_coding
ENSG00000204161	TMEM273	10	49154725	49188585	47.39	protein_coding
ENSG00000131386	GALNT15	3	16174649	16231992	45.64	protein_coding
ENSG00000007520	TSR3	16	1349240	1351911	62.57	protein_coding
ENSG00000140279	DUOX2	15	45092650	45114344	54.85	protein_coding
ENSG00000127533	F2RL3	19	16888860	16892606	61.46	protein_coding
ENSG00000248099	INSL3	19	17816512	17821574	53.07	protein_coding
ENSG00000144028	SNRNP200	2	96274336	96305515	47.58	protein_coding
ENSG00000008988	RPS20	8	56067295	56074581	41.97	protein_coding
ENSG00000160209	PDXK	21	43719094	43762307	57.26	protein_coding
ENSG00000221937	TAS2R40	7	143222037	143223079	47.56	protein_coding
ENSG00000163499	CRYBA2	2	218990189	218993421	58.09	protein_coding
ENSG00000119013	NDUFB3	2	201071433	201085750	41.49	protein_coding
ENSG00000142632	ARHGEF19	1	16197854	16212609	57.33	protein_coding
ENSG00000169371	SNUPN	15	75598083	75626469	47.36	protein_coding
ENSG00000007516	BAIAP3	16	1333601	1349441	65.72	protein_coding
ENSG00000140632	GLYR1	16	4803203	4847342	47.65	protein_coding
ENSG00000171680	PLEKHG5	1	6466092	6520061	58.85	protein_coding
ENSG00000088970	KIZ	20	21125983	21246622	41.17	protein_coding
ENSG00000173464	RNASE11	14	20583559	20609884	44.99	protein_coding
ENSG00000261873	SMIM36	17	55448433	55511444	42.16	protein_coding
ENSG00000115942	ORC2	2	200908973	200963680	39.05	protein_coding
ENSG00000083544	TDRD3	13	60396457	60573878	36.41	protein_coding
ENSG00000181378	CFAP65	2	219002846	219041527	52.34	protein_coding
ENSG00000284695	NA	4	69810780	69847786	37.39	protein_coding
ENSG00000109680	TBC1D19	4	26576437	26755351	36.57	protein_coding
ENSG00000109193	SULT1E1	4	69841212	69860152	33.24	protein_coding
ENSG00000137857	DUOX1	15	45129933	45165576	52.9	protein_coding
ENSG00000065057	NTHL1	16	2039815	2047866	61.44	protein_coding
ENSG00000285043	NA	16	30053090	30070420	54.42	protein_coding
ENSG00000258436	RNASE12	14	20590193	20590823	45.64	protein_coding
ENSG00000259060	NA	14	20582892	20609795	44.74	protein_coding
ENSG00000011451	WIZ	19	15419980	15449951	58.16	protein_coding
ENSG00000132017	DCAF15	19	13952492	13961449	59.89	protein_coding
ENSG00000155438	NIFK	2	121726945	121736923	43.01	protein_coding
ENSG00000155659	VSIG4	23	66021738	66040125	40.15	protein_coding
ENSG00000153406	NMRAL1	16	4461680	4495763	49.3	protein_coding
ENSG00000177354	C10orf71	10	49299193	49327487	49.96	protein_coding
ENSG00000132000	PODNL1	19	13931187	13953392	54.14	protein_coding
ENSG00000165606	DRGX	10	49364181	49396016	48.29	protein_coding
ENSG00000083535	PIBF1	13	72782059	73016461	36.99	protein_coding
ENSG00000102057	KCND1	23	48961378	48971569	53.2	protein_coding
ENSG00000184481	FOXO4	23	71096197	71103535	52.26	protein_coding
ENSG00000127952	STYXL1	7	75996338	76048004	48.42	protein_coding
ENSG00000114520	SNX4	3	125446644	125520197	40.09	protein_coding
ENSG00000168488	ATXN2L	16	28823035	28837237	52.64	protein_coding
ENSG00000184811	TRARG1	17	1279663	1300987	55.91	protein_coding
ENSG00000183808	RBM12B	8	93729356	93741017	39	protein_coding
ENSG00000049323	LTBP1	2	32946972	33399509	40.25	protein_coding
ENSG00000008710	PKD1	16	2088710	2135898	63.1	protein_coding
ENSG00000145354	CISD2	4	102868974	102892807	38.96	protein_coding
ENSG00000101220	C20orf27	20	3753508	3768387	56.32	protein_coding
ENSG00000155744	FAM126B	2	200973718	201071671	39.16	protein_coding
ENSG00000147168	IL2RG	23	71107404	71112108	49.71	protein_coding
ENSG00000168078	PBK	8	27809620	27838095	37.25	protein_coding
ENSG00000122585	NPY	7	24284163	24291865	43.49	protein_coding
ENSG00000184033	CTAG1B	23	154617609	154619282	65.77	protein_coding
ENSG00000204442	FAM155A	13	107163510	107866735	37.4	protein_coding
ENSG00000170425	ADORA2B	17	15944917	15975746	49.86	protein_coding
ENSG00000186300	ZNF555	19	2841435	2860484	45.94	protein_coding
ENSG00000221866	PLXNA4	7	132123332	132648688	46.94	protein_coding
ENSG00000149925	ALDOA	16	30064164	30070457	59.26	protein_coding
ENSG00000106483	SFRP4	7	37905932	38025695	39.07	protein_coding
ENSG00000093217	XYLB	3	38346760	38421348	44.83	protein_coding
ENSG00000175376	EIF1AD	11	65996545	66002176	48.54	protein_coding
ENSG00000120686	UFM1	13	38349849	38363619	33.9	protein_coding
ENSG00000021826	CPS1	2	210477682	210679107	36.31	protein_coding
ENSG00000035141	FAM136A	2	70295975	70302090	48.46	protein_coding
ENSG00000136122	BORA	13	72727749	72756198	36.79	protein_coding
ENSG00000011201	ANOS1	23	8528874	8732186	39.59	protein_coding
ENSG00000105639	JAK3	19	17824780	17848071	54.93	protein_coding
ENSG00000187605	TET3	2	73986404	74108176	46.75	protein_coding
ENSG00000086289	EPDR1	7	37683843	37951941	38.37	protein_coding
ENSG00000285171	NA	23	71103987	71111575	49.6	protein_coding
ENSG00000130731	METTL26	16	634427	636366	67.84	protein_coding
ENSG00000204165	CXorf65	23	71103889	71106788	48.97	protein_coding
ENSG00000078579	FGF20	8	16992169	17002181	39.24	protein_coding
ENSG00000177951	BET1L	11	167784	207428	48.36	protein_coding
ENSG00000204950	LRRC10B	11	61508800	61511018	67.42	protein_coding
ENSG00000144891	AGTR1	3	148697784	148743008	37.38	protein_coding
ENSG00000164066	INTU	4	127623271	127726737	37.11	protein_coding
ENSG00000101844	ATG4A	23	108091668	108154671	39.97	protein_coding
ENSG00000187037	GPR141	7	37683796	37833788	38.45	protein_coding
ENSG00000164111	ANXA5	4	121667955	121697113	39.13	protein_coding
ENSG00000086288	NME8	7	37848597	37900401	37.47	protein_coding
ENSG00000066336	SPI1	11	47354860	47378576	52.62	protein_coding
ENSG00000135960	EDAR	2	108894471	108989372	48.85	protein_coding
ENSG00000186074	CD300LF	17	74694311	74712978	48.69	protein_coding
ENSG00000102805	CLN5	13	76990660	77019143	38.81	protein_coding
ENSG00000138660	AP1AR	4	112231737	112270047	36.49	protein_coding
ENSG00000054523	KIF1B	1	10210805	10381603	41.99	protein_coding
ENSG00000174405	LIG4	13	108207439	108218368	40.58	protein_coding
ENSG00000170430	MGMT	10	129467184	129768007	45.49	protein_coding
ENSG00000179950	PUF60	8	143816344	143829859	62.04	protein_coding
ENSG00000113583	C5orf15	5	133955502	133968787	39.91	protein_coding
ENSG00000074370	ATP2A3	17	3923870	3964464	56.9	protein_coding
ENSG00000188076	SCGB1C1	11	193080	194573	57.03	protein_coding
ENSG00000234828	IQCM	4	149351903	149896233	35.81	protein_coding
ENSG00000149289	ZC3H12C	11	110093361	110171841	37.25	protein_coding
ENSG00000204450	TRIM64	11	89968502	89975228	37.61	protein_coding
ENSG00000112053	SLC26A8	6	35943514	36024868	42.4	protein_coding
ENSG00000177947	ODF3	11	196738	200261	60.07	protein_coding
ENSG00000004142	POLDIP2	17	28347177	28357522	50.16	protein_coding
ENSG00000113361	CDH6	5	31193750	31329146	38.3	protein_coding
ENSG00000188981	MSANTD1	4	3244369	3271738	56.63	protein_coding
ENSG00000125872	LRRN4	20	6040778	6054049	51.18	protein_coding
ENSG00000166292	TMEM100	17	55719627	55732121	40.18	protein_coding
ENSG00000102119	EMD	23	154379197	154381523	62.14	protein_coding
ENSG00000106031	HOXA13	7	27193503	27200106	45.38	protein_coding
ENSG00000165475	CRYL1	13	20403666	20525873	44.52	protein_coding
ENSG00000166351	POTED	21	13609858	13641585	36.71	protein_coding
ENSG00000137710	RDX	11	109864295	110296722	39.03	protein_coding
ENSG00000106333	PCOLCE	7	100602177	100608175	60.91	protein_coding
ENSG00000124198	ARFGEF2	20	48921890	49036693	43.19	protein_coding
ENSG00000115594	IL1R1	2	102064544	102179874	41.38	protein_coding
ENSG00000183560	IZUMO1R	11	94305592	94307721	53.76	protein_coding
ENSG00000147454	SLC25A37	8	23528805	23575463	48.45	protein_coding
ENSG00000109079	TNFAIP1	17	28335602	28347009	52.61	protein_coding
ENSG00000175334	BANF1	11	66002079	66004149	58.14	protein_coding
ENSG00000205307	SAP25	7	100572228	100573820	67.67	protein_coding
ENSG00000180773	SLC36A4	11	93144171	93197964	35.08	protein_coding
ENSG00000155330	C16orf87	16	46796607	46831411	37.09	protein_coding
ENSG00000168004	HRASLS5	11	63461404	63491194	40.25	protein_coding
ENSG00000150556	LYPD6B	2	149038107	149215262	39.95	protein_coding
ENSG00000106336	FBXO24	7	100583982	100601117	53.99	protein_coding
ENSG00000186432	KPNA4	3	160494995	160565588	37.2	protein_coding
ENSG00000163421	PROK2	3	71771656	71785206	39.38	protein_coding
ENSG00000175832	ETV4	17	43527844	43579620	50.23	protein_coding
ENSG00000134121	CHL1	3	196596	409417	37.02	protein_coding
ENSG00000123901	GPR83	11	94377311	94401419	44.97	protein_coding
ENSG00000165799	RNASE7	14	21042226	21044234	50.57	protein_coding
ENSG00000106038	EVX1	7	27242700	27250493	57.61	protein_coding
ENSG00000101882	NKAP	23	119920672	119943772	41.82	protein_coding
ENSG00000130413	STK33	11	8391868	8594289	37.65	protein_coding
ENSG00000165804	ZNF219	14	21090046	21104722	55.48	protein_coding
ENSG00000167034	NKX3-1	8	23678693	23682927	49.23	protein_coding
ENSG00000196139	AKR1C3	10	5035354	5107686	40.4	protein_coding
ENSG00000153707	PTPRD	9	8314246	10612723	35.53	protein_coding
ENSG00000171119	NRTN	19	5823802	5828324	61.95	protein_coding
ENSG00000104112	SCG3	15	51681353	51721031	40.12	protein_coding
ENSG00000186471	AKAP14	23	119895837	119920716	46.85	protein_coding
ENSG00000205213	LGR4	11	27365961	27472775	39.08	protein_coding
ENSG00000205457	TP53TG3C	16	33193659	33196858	50.81	protein_coding
ENSG00000172985	SH3RF3	2	109129348	109504632	48.6	protein_coding
ENSG00000184276	DEFB108B	11	71833200	71837710	37.57	protein_coding
ENSG00000185040	SPDYE16	7	76531319	76541459	49.43	protein_coding
ENSG00000159921	GNE	9	36214441	36277056	43.82	protein_coding
ENSG00000182968	SOX1	13	112067647	112070488	59.36	protein_coding
ENSG00000174500	GCSAM	3	112120841	112133305	40.86	protein_coding
ENSG00000170390	DCLK2	4	150078274	150257457	40.72	protein_coding
ENSG00000140274	DUOXA2	15	45114321	45118421	58.64	protein_coding
ENSG00000144909	OSBPL11	3	125528858	125595090	39.18	protein_coding
ENSG00000196428	TSC22D2	3	150408335	150466431	36.52	protein_coding
ENSG00000141179	PCTP	17	55750979	55842830	40.32	protein_coding
ENSG00000154928	EPHB1	3	134597801	135260467	44.84	protein_coding
ENSG00000077454	LRCH4	7	100574011	100586153	60.36	protein_coding
ENSG00000168152	THAP9	4	82900684	82919969	37.02	protein_coding
ENSG00000232070	TMEM253	14	21098937	21103724	48.93	protein_coding
ENSG00000138606	SHF	15	45167214	45201175	50.88	protein_coding
ENSG00000114854	TNNC1	3	52451102	52454070	59.58	protein_coding
ENSG00000136828	RALGPS1	9	126914774	127223166	46.49	protein_coding
ENSG00000165195	PIGA	23	15319451	15335580	39.56	protein_coding
ENSG00000100297	MCM5	22	35400063	35425430	52.51	protein_coding
ENSG00000149273	RPS3	11	75399486	75422280	48.52	protein_coding
ENSG00000153498	SPACA7	13	112376319	112434689	41.46	protein_coding
ENSG00000114353	GNAI2	3	50226292	50259355	57.36	protein_coding
ENSG00000179636	TPPP2	14	21024109	21036276	51.69	protein_coding
ENSG00000138135	CH25H	10	89205629	89207314	48.28	protein_coding
ENSG00000114529	C3orf52	3	112086335	112131004	42.44	protein_coding
ENSG00000078043	PIAS2	18	46803224	46920160	38.59	protein_coding
ENSG00000010322	NISCH	3	52455118	52493071	53.28	protein_coding
ENSG00000101311	FERMT1	20	6074845	6123544	42.72	protein_coding
ENSG00000165915	SLC39A13	11	47407132	47416501	60.6	protein_coding
ENSG00000126368	NR1D1	17	40092787	40100725	56.78	protein_coding
ENSG00000135720	DYNC1LI2	16	66720893	66751798	45.09	protein_coding
ENSG00000144895	EIF2A	3	150546678	150584242	37.58	protein_coding
ENSG00000131748	STARD3	17	39637065	39663484	54.9	protein_coding
ENSG00000174611	KY	3	134603138	134651636	48.18	protein_coding
ENSG00000173431	RNASE8	14	21057822	21058455	54.26	protein_coding
ENSG00000008838	MED24	17	40019097	40061215	50.63	protein_coding
ENSG00000197991	NA	13	61409858	61427849	38.48	protein_coding
ENSG00000108953	YWHAE	17	1344272	1400378	44.81	protein_coding
ENSG00000156735	BAG4	8	38176533	38213301	41.83	protein_coding
ENSG00000280165	PCDH20	13	61409685	61415522	44.3	protein_coding
ENSG00000165795	NDRG2	14	21016763	21070872	48	protein_coding
ENSG00000102878	HSF4	16	67164681	67169945	61.39	protein_coding
ENSG00000204449	TRIM49C	11	90031106	90042025	37.03	protein_coding
ENSG00000176979	TRIM60	4	165016458	165041744	45.33	protein_coding
ENSG00000126890	CTAG2	23	154651972	154653579	64.74	protein_coding
ENSG00000138674	SEC31A	4	82818661	82901166	38.78	protein_coding
ENSG00000147465	STAR	8	38143649	38151265	51.57	protein_coding
ENSG00000206181	ELOA2	18	47032572	47035621	57.15	protein_coding
ENSG00000133317	LGALS12	11	63506084	63516774	52.28	protein_coding
ENSG00000275553	ELOA3C	18	46968695	46969912	64.37	protein_coding
ENSG00000215788	TNFRSF25	1	6460786	6466195	59.87	protein_coding
ENSG00000278674	ELOA3B	18	47022287	47023927	63.92	protein_coding
ENSG00000274744	ELOA3D	18	46962768	46964408	63.92	protein_coding
ENSG00000170044	ZPLD1	3	102099244	102479841	36.71	protein_coding
ENSG00000167216	KATNAL2	18	46917492	47102243	43.99	protein_coding
ENSG00000090316	MAEA	4	1289851	1340147	55.03	protein_coding
ENSG00000154767	XPC	3	14145147	14178783	45.2	protein_coding
ENSG00000124193	SRSF6	20	43457928	43464247	41.69	protein_coding
ENSG00000067596	DHX8	17	43483865	43610338	47.76	protein_coding
ENSG00000175324	LSM1	8	38163321	38176730	42.96	protein_coding
ENSG00000183785	TUBA8	22	18110331	18146554	48.29	protein_coding
ENSG00000104321	TRPA1	8	72019917	72075617	36.36	protein_coding
ENSG00000225830	ERCC6	10	49455368	49539538	40.54	protein_coding
ENSG00000120029	ARMH3	10	101845599	102056193	42.35	protein_coding
ENSG00000129691	ASH2L	8	38105242	38144076	42.99	protein_coding
ENSG00000108061	SHOC2	10	110919547	111013667	35.08	protein_coding
ENSG00000215193	PEX26	22	18077920	18131138	48.63	protein_coding
ENSG00000275034	TP53TG3E	16	33303739	33306935	50.86	protein_coding
ENSG00000173213	TUBB8P12	18	47390	49557	60.93	protein_coding
ENSG00000149043	SYT8	11	1828307	1837521	63.55	protein_coding
ENSG00000146707	POMZP3	7	76609986	76627261	49.24	protein_coding
ENSG00000180053	NKX2-6	8	23702451	23706598	57.93	protein_coding
ENSG00000124217	MOCS3	20	50958826	50963931	45.61	protein_coding
ENSG00000196313	POM121	7	72879365	72951440	46.19	protein_coding
ENSG00000239789	MRPS17	7	55951819	55956501	49.9	protein_coding
ENSG00000159167	STC1	8	23841915	23854807	43.81	protein_coding
ENSG00000084234	APLP2	11	130068147	130144811	43.97	protein_coding
ENSG00000183791	ELOA3	18	47028202	47030078	64.78	protein_coding
ENSG00000214595	EML6	2	54723499	54972025	40.81	protein_coding
ENSG00000170876	TMEM43	3	14124940	14143679	52.73	protein_coding
ENSG00000122705	CLTA	9	36190856	36304781	44.48	protein_coding
ENSG00000178860	MSC	8	71841549	71844468	58.6	protein_coding
ENSG00000249773	NA	7	55887277	55955239	43.59	protein_coding
ENSG00000119771	KLHL29	2	23385217	23708611	50.5	protein_coding
ENSG00000178665	ZNF713	7	55887475	55942530	43.03	protein_coding
ENSG00000065268	WDR18	19	984271	998438	62.29	protein_coding
ENSG00000140368	PSTPIP1	15	76993359	77037332	56.51	protein_coding
ENSG00000136859	ANGPTL2	9	127087332	127122883	49.92	protein_coding
ENSG00000108474	PIGL	17	16217191	16351797	44.78	protein_coding
ENSG00000146729	NIPSNAP2	7	55951793	56000181	45.28	protein_coding
ENSG00000250374	TRIM75P	4	165053864	165060554	45.25	protein_coding
ENSG00000073331	ALPK1	4	112285509	112442620	40.45	protein_coding
ENSG00000108309	RUNDC3A	17	44308413	44318671	59.03	protein_coding
ENSG00000100246	DNAL4	22	38778508	38794198	51.3	protein_coding
ENSG00000261509	TP53TG3B	16	33360274	33363478	50.83	protein_coding
ENSG00000100360	IFT27	22	36758202	36776256	51.18	protein_coding
ENSG00000151092	NGLY1	3	25718944	25790039	37.55	protein_coding
ENSG00000100242	SUN2	22	38734725	38794143	54.74	protein_coding
